training error,validation error,lambda,dropout prob
0.0995,0.623604166667,0.006663465306193248,0.603813828197014
0.874666666826,0.697333333333,0.42726668409649365,0.6604055304323418
0.0995,0.0985208333333,53.838530649421315,0.7716225302367793
0.952916666985,0.927270833333,3.7066776397245,0.2735201573167566
0.957666666826,0.922375,0.00027285971100072013,0.35394929195527747
0.823500000477,0.745333333333,14.998420380690613,0.5559134487435534
0.2345,0.30825,0.000799985913467163,0.7526611894529509
0.891583333651,0.8175,7.244348997740665,0.5324573452767536
0.966749999841,0.953541666667,0.001689492690925803,0.18467201833456237
0.718666666985,0.5505625,0.9745875953827298,0.6831158777948056
0.552666666985,0.484395833333,32.53519029753244,0.6419720964311681
0.971166666349,0.969895833333,0.0013323646554500525,0.08901803389169496
0.958250000318,0.956791666667,0.24837391929217864,0.13711979299971322
0.76308333381,0.6283125,0.00031946575236695433,0.6675484460410703
0.959500000159,0.9681875,1.0172786836805867,0.004313265609245232
0.659083333651,0.882958333333,41.46682746240782,0.3591259360656591
0.217333333413,0.225833333333,10.018504784651807,0.7776370798238768
0.761583333651,0.6455625,0.0267648509479844,0.6759468104434417
0.814749999682,0.7195,0.45030268064158924,0.6233307237478515
0.966416667144,0.949729166667,0.040567397061739376,0.21660564438602015
0.962999999682,0.9429375,0.00012844935421639058,0.250842556170163
0.942250000159,0.885958333333,0.0009476416251637045,0.49700832323428257
0.138416666587,0.257791666667,0.046925513449960085,0.7967906565286416
0.313749999921,0.308,0.0009422521857632944,0.7603626678047073
0.708666666985,0.590666666667,0.0006018271918579053,0.6757409121829723
0.947166667144,0.911520833333,23.587677290257623,0.2673565350443643
0.952916667144,0.916020833333,0.00968087778106251,0.41070262243925093
0.962500000159,0.960104166667,0.12096851418856551,0.13441668703935913
0.0995,0.0985208333333,0.0009231458882436367,0.7697539818053856
0.938999999682,0.8844375,0.24566947977850562,0.5057427848555394
0.916416666985,0.8236875,0.0006754795706248399,0.5833955032700857
0.911083333492,0.811458333333,92.46149181401546,0.47199146428291583
0.920416666985,0.811270833333,97.53787841736609,0.4524849096480492
0.0995,0.0985208333333,3.7484512941155708,0.0207951367653779
0.946250000159,0.920354166667,5.914410737694095,0.29124268621951693
0.93875,0.882145833333,0.00536945049307957,0.5160183672354747
0.941000000477,0.8895,0.17991964333876503,0.4890209289742429
0.96283333381,0.954541666667,0.28838022593078794,0.14882271443212422
0.959416666349,0.937604166667,0.0006185469795841081,0.2885617315167708
0.0995,0.0985208333333,0.00021571136898287,0.639620095437698
0.96866666619,0.970770833333,0.004245393125284976,0.08084310124973344
0.962916666508,0.958270833333,1.9167573467578716,0.06251839906651187
0.954916666826,0.9326875,1.239835237779079,0.2844563659914985
0.96058333381,0.970791666667,0.43217770156602675,0.00898865786797547
0.951250000477,0.929520833333,2.7290963578109215,0.2704821645655656
0.0995,0.345375,5.0063737419485004e-05,0.7419118200043567
0.969000000318,0.96175,0.0021753167278374215,0.14479609370295626
0.106666666687,0.233354166667,0.00012800836138487465,0.7967362680762969
0.965750000477,0.95575,1.1553281826251876e-05,0.16817595999537308
0.961499999682,0.932041666667,8.300951099085239e-05,0.31276613841897566
0.938333332856,0.958958333333,1.7538668969656837,0.05397577685363526
0.91166666619,0.7984375,0.0002569051292463817,0.5918132816802845
