loss,val_loss,acc,val_acc,itr
0.546390197555,0.231404848138,0.9443541666666667,0.9356666666666666,1
0.177356235504,0.190194246451,0.961,0.9469166666666666,2
0.1279487039,0.177196216504,0.9717291666666666,0.95275,3
0.102291045278,0.16063308243,0.9791875,0.9565833333333333,4
0.0862341611783,0.156984271824,0.983625,0.9573333333333334,5
0.0717003422752,0.164366582056,0.9860625,0.9598333333333333,6
0.0585743385578,0.169085534066,0.9889791666666666,0.9585833333333333,7
0.050009762841,0.173654732585,0.9882916666666667,0.95925,8
0.0407865509937,0.167813143233,0.9923541666666666,0.9626666666666667,9
0.0373773902413,0.183154850249,0.9911875,0.9586666666666667,10
0.0325328141656,0.182117751459,0.9949791666666666,0.9610833333333333,11
0.0282387255138,0.196113618086,0.9939166666666667,0.9599166666666666,12
0.0265836072693,0.202511994521,0.9943125,0.9591666666666667,13
0.0241799637894,0.198286024342,0.9965416666666667,0.9623333333333334,14
0.0222087493944,0.208889011264,0.9965,0.9615,15
0.0249727898795,0.224452651193,0.9955625,0.9609166666666666,16
0.0242439345636,0.231758528411,0.9908958333333333,0.9585,17
0.0260821230096,0.223897962173,0.994875,0.95875,18
0.0235520986324,0.233343162378,0.9950416666666667,0.9584166666666667,19
