training error,validation error,lambda,dropout prob
0.960999999682,0.946833333333,0.013684262736816173,0.19773816078388398
0.95908333381,0.943854166667,0.04546609623200792,0.16622189496942336
0.967416666826,0.983875,1.6501344852615207e-05,0.028642684020417294
0.96858333381,0.975354166667,4.269098109474804e-05,0.06881459912509158
0.963250000477,0.954354166667,0.0006160645573691461,0.18113475825330777
0.966249999841,0.960479166667,0.0003103330688773342,0.14846129735200958
0.968750000159,0.975416666667,0.001515057615614311,0.05559369372184823
0.95533333381,0.926916666667,0.01897691304852107,0.2916768301342816
0.962416667144,0.940958333333,0.00019719467380369433,0.2639282342080501
0.958999999682,0.938833333333,0.008479915530004654,0.236117136845772
0.958166666667,0.951208333333,0.03478852557884295,0.148938208891062
0.967583333015,0.9833125,0.0005037768170492945,0.026680956730981163
0.961500000477,0.947708333333,0.0003305551633621129,0.2133142702419823
0.95916666619,0.939125,0.008355631464891187,0.2471469250380672
0.963333333492,0.962583333333,0.07167054261448513,0.057005862350808706
0.9515,0.922270833333,0.08814599772866684,0.27511434937163626
0.96308333381,0.950645833333,1.3482195426590886e-05,0.20028914319850766
0.966166666349,0.958708333333,3.354083692041073e-05,0.15512870381620286
0.955916667144,0.9280625,0.009446886593525576,0.29132023788347094
0.966083333492,0.949708333333,0.00019753897617196927,0.19675042229531703
0.959583333174,0.937479166667,0.007645130105048017,0.25223278323917964
0.962833333492,0.946229166667,1.2473261574255188e-05,0.22216736472481527
0.961583333492,0.935916666667,0.0013457374163700828,0.27361329488322883
0.964666666349,0.967729166667,0.05981230574233818,0.03938490919014352
0.968666666826,0.966958333333,0.0071558162468924385,0.09131894090354696
0.965250000477,0.9670625,2.5994970628384493e-05,0.1156703397317708
0.964249999841,0.9728125,0.085171848185048,0.012577467305275003
0.968166666349,0.989208333333,0.0037775571179173256,0.0015498980892322712
0.958833333015,0.932541666667,1.4084796369845973e-05,0.28316687450909617
0.968250000477,0.977520833333,0.0005018892716454723,0.054474545289440686
0.966500000477,0.959770833333,0.00029719555105617074,0.13930940026665603
0.969166666826,0.981770833333,0.006773452747766215,0.017544131066580846
0.965750000159,0.9591875,0.000724136735543842,0.13967005230943086
0.963666667144,0.947916666667,0.0012852831333037865,0.208124232369768
0.962916666826,0.9523125,0.0028443413171472787,0.18278322934013475
0.961999999682,0.945479166667,1.5136601500223812e-05,0.2360511526157963
0.965166667144,0.9934375,4.016778569939054e-05,0.003529249186400218
0.960000000159,0.941520833333,0.015586862005069887,0.21441977733171116
0.963583333015,0.9689375,0.04990604584511915,0.036557593169036735
0.964583333174,0.95975,9.308802960589662e-05,0.14313665543386728
0.959916666826,0.934375,1.2668423584571849e-05,0.28174160442522866
0.958583333015,0.934895833333,0.039428276327868675,0.24104793976113115
0.965333333015,0.961125,0.0007526237131906499,0.1448018192876778
0.967249999682,0.971791666667,1.1349552668450722e-05,0.08529384493159917
0.966333333492,0.9823125,0.00025184711844542597,0.03508537875531221
0.963083333015,0.949604166667,0.00029564749680507875,0.20262424431389564
0.965916666985,0.977145833333,0.0053838882240383416,0.04161855097039541
0.960333333333,0.9369375,0.005562080688591086,0.2588971497666164
0.965000000159,0.9555625,3.3910930374581086e-05,0.1681870772831303
0.966749999682,0.959583333333,0.001234864270495701,0.14588521819283737
0.966166666508,0.9709375,0.03868720858944862,0.0384376680033187
0.96666666619,0.9616875,0.0011824805045515191,0.13610741599094092
0.966583333174,0.984291666667,6.78826844600405e-05,0.027392065788067153
0.967250000477,0.969,0.00020946512024687576,0.10042324525914541
0.966499999682,0.984208333333,1.2727274573147557e-05,0.026486339343945862
0.962166667144,0.947479166667,0.006803530473268034,0.20519137778010213
0.961666667144,0.947291666667,0.008006062628297329,0.19640389592703592
0.964500000318,0.959604166667,2.1875716077671703e-05,0.14070805017105267
0.96233333381,0.942020833333,0.0011693777650423442,0.24652604685657403
0.964999999682,0.961375,6.447342608904682e-05,0.13876732438830436
0.96558333381,0.973666666667,0.0675797419921214,0.012819313478505767
0.958083333015,0.93425,2.4227924826139573e-05,0.2956823915726975
0.959333333492,0.936833333333,0.0022362075172476757,0.2664919255434882
0.966249999841,0.961958333333,0.00011669969145759031,0.12671102255496086
0.963500000477,0.951583333333,0.024146464831887975,0.15352384109872877
0.965916666667,0.9704375,0.0013290556919627159,0.0855719223629712
0.963833333492,0.951958333333,4.628837227614976e-05,0.19086727255697047
0.966000000159,0.9825625,5.1473032011872374e-05,0.030309378914132323
0.966749999841,0.961729166667,0.00455848970402558,0.13095394331909802
0.966583333015,0.966395833333,0.00025209334325116805,0.11278684364112923
0.960916666508,0.942166666667,8.079354949231508e-05,0.24722387317691077
0.966250000159,0.957354166667,0.0010619653329236583,0.1484755194285474
0.963500000477,0.950020833333,8.174864727641861e-05,0.20066884758587838
0.962833333492,0.947208333333,0.00021778722955465598,0.2117416406924998
0.965500000159,0.971395833333,4.652051504839374e-05,0.08602234193024165
0.96258333381,0.940520833333,0.003095081583600963,0.2418803364964142
0.964499999523,0.955,0.011474065426911465,0.15563776778271898
0.968499999682,0.9911875,0.0009464055278127309,0.006259275424846933
0.963666667144,0.952979166667,0.07248053852915735,0.11133802936333108
0.965333333015,0.957708333333,0.0011532294618472674,0.15479160219440802
0.962083333015,0.950791666667,1.3785644566549809e-05,0.20205414198288696
0.96433333381,0.958208333333,0.0016284914104423762,0.15167859174083279
0.967500000159,0.970958333333,1.0553349037696532e-05,0.089119740250326
0.959750000159,0.933791666667,5.075993453037539e-05,0.2797810035143468
0.96558333381,0.9528125,1.2233209545838814e-05,0.18122966003376598
0.963666666508,0.952729166667,8.555384132640629e-05,0.19216463039613074
0.963583333174,0.966104166667,0.07463781206671989,0.039587487475382474
0.95933333381,0.94875,0.06433231014316648,0.14976328072470751
0.965249999682,0.976208333333,0.020857060858661708,0.020184741158684894
0.967749999523,0.990895833333,0.0009891595704736335,0.0029980638735586985
0.968249999682,0.962166666667,0.00012270521685451563,0.13432653812701792
0.960833333492,0.937604166667,0.003603719233073694,0.2625244096214145
0.966750000318,0.976020833333,1.060540444862718e-05,0.06615807063276209
0.968250000159,0.972645833333,0.0026801048138638587,0.06805964205577963
0.969416666826,0.974291666667,0.0001646873128495765,0.0723918634234019
0.961833333015,0.937333333333,1.0338912701971418e-05,0.26472218798931346
0.964666666349,0.952729166667,3.060800308314399e-05,0.18012116865228045
0.965750000159,0.992666666667,0.0004190885673149312,0.0033089721166595586
0.960833333492,0.941020833333,0.008684237973923597,0.22395856480860982
0.964416666508,0.955291666667,0.041296878743613805,0.12525120408878176
