loss,val_loss,acc,val_acc,itr
0.39804189076,0.229493684928,0.9448541666666667,0.9355,1
0.170315571576,0.193185328682,0.9620416666666667,0.9471666666666667,2
0.122675102631,0.170706592818,0.9732291666666667,0.9546666666666667,3
0.0945890752276,0.158048602223,0.9796458333333333,0.9584166666666667,4
0.0782843742718,0.153389632126,0.9845208333333333,0.9594166666666667,5
0.0641690867146,0.151228226264,0.9867083333333333,0.962,6
0.0529334647593,0.153138312678,0.9898125,0.962,7
0.044370094164,0.156017322878,0.9919583333333334,0.9638333333333333,8
0.0376457907781,0.153126632174,0.9937916666666666,0.9639166666666666,9
0.0319878796072,0.157608586133,0.9951666666666666,0.9644166666666667,10
0.0266113108173,0.167542644004,0.9953958333333334,0.9620833333333333,11
0.0225772206259,0.171539203773,0.9964166666666666,0.96425,12
0.0189566181817,0.174620095531,0.9975208333333333,0.96375,13
0.0161024849641,0.176951420724,0.998375,0.9646666666666667,14
0.0131598369402,0.177185623586,0.9987083333333333,0.9651666666666666,15
0.0117756652248,0.185932997783,0.9990416666666667,0.96425,16
0.00984072464084,0.191869145632,0.9989166666666667,0.9643333333333334,17
0.00837170781071,0.193922952453,0.9993958333333334,0.9650833333333333,18
0.00710553576083,0.19588250339,0.9995833333333334,0.9650833333333333,19
