training error,validation error,lambda,dropout prob
0.95933333381,0.9665,0.002287653475226009,0.009543363313424579
0.955833333492,0.935520833333,0.002755804147340082,0.1355043332740589
0.953416667144,0.9274375,0.002766866916888356,0.17177975300204873
0.960416666667,0.9715,7.537063914121384e-05,0.006787978414877515
0.943999999682,0.9135,0.04389573215121192,0.18458267067641834
0.951499999682,0.913208333333,2.1430832919475863e-05,0.23862783935187648
0.954166666667,0.930520833333,0.001704146370398153,0.15972847997226963
0.955749999682,0.941270833333,0.005548867648397602,0.11058205978256745
0.948916666985,0.909291666667,0.00010261780348079855,0.2460662283377012
0.956916667144,0.9490625,0.0005789316343042443,0.07567598392813525
0.947000000477,0.899604166667,0.002076446870762975,0.2826609754496335
0.947000000477,0.914083333333,0.00430644049914675,0.22787822081856762
0.95233333381,0.9324375,0.018926944678398356,0.12609013860544846
0.958416667144,0.945,3.169627835046151e-05,0.09776440785122324
0.937583333333,0.9001875,0.03918801588985915,0.24710220887541076
0.955250000159,0.935708333333,0.002424351576579947,0.1274713707243588
0.956083333174,0.941041666667,0.0051081022485482295,0.09540198381916669
0.944000000477,0.895166666667,0.0007159972225790761,0.29975838189440146
0.938083333333,0.89075,0.03126843637386892,0.29929310323434904
0.950583332856,0.926979166667,0.0038730412111918685,0.18064159680014188
0.94975,0.9098125,8.272391135491948e-05,0.2508226777459795
0.96125,0.9689375,0.0001478384622429011,0.01224623773357415
0.960500000159,0.96275,0.0006910568557301529,0.02356817928735049
0.952166666985,0.927666666667,0.0010236717593439474,0.17619408771138692
0.960666666349,0.965708333333,0.0005031608817838121,0.020527794969613888
0.955250000159,0.93225,0.00018174896186247486,0.15167363026909297
0.95233333381,0.928,5.892075404159817e-05,0.17509813845020014
0.960583333015,0.970791666667,1.923829547317878e-05,0.005286007138962545
0.960166666349,0.956145833333,1.48948925825202e-05,0.0564611009446767
0.959749999682,0.960625,0.0010838817291957,0.03968409237457541
0.9485,0.91675,4.5611095115906905e-05,0.2119679119588082
0.951583333174,0.946708333333,0.05911796868143366,0.0181023901924087
0.945083333174,0.91525,0.01820817273973723,0.20191179079106308
0.95933333381,0.952458333333,1.50896435827673e-05,0.06442366791471789
0.954250000159,0.9280625,1.224305755563378e-05,0.17187299091891936
